"AMGR","AMMA","ANBO","PSRE","RAAU","RACA","TAGR"
0,0,0,0,0,-0.181867967767199,0.289389371266867
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.246414596003237,0,0.219398522002952
0,0,0,0.246414596003237,0,-0.419420067946821,0.329919590409571
-0.181867967767199,0,0,0,-0.419420067946821,0,-0.224725366468067
0.289389371266867,0,0,0.219398522002952,0.329919590409571,-0.224725366468067,0
